Current Vibhag Jimmedari *,Spouse's Current Vibhag Jimmedari (if applicable),Vidya Prem Vardhan Pariksha - last passed ,State/Province,Zone,Cluster,Kendra
Swadhyay Kendra,Swadhyay Kendra,Jignasu,,Australia,SA,Adelaide
Bhav Samarpan,Bhav Samarpan,Gnata,,Australia,QLD,Brisbane
Bhavferi/Bhaktiferi,Bhavferi/Bhaktiferi,Vichakshan,,Australia,ACT,Canberra
Jivan Samapada,Jivan Samapada,Praveshak,,Australia,NSW,Sydney-N
Sat Vichar Darshan,Sat Vichar Darshan,Anugnata,,Australia,NSW,Sydney-W
Vidya Prem Vardhan Pariksha,Vidya Prem Vardhan Pariksha,Parangat,,Australia,VIC,Melbourne-C
Bal Sanskar Kendra,Bal Sanskar Kendra,,,Australia,VIC,Melbourne-S
Mahila,Mahila,,,Australia,VIC,Melbourne-W (V)
Vistar Jimmedar,Vistar Jimmedar,,,Australia,WA,Perth
Plus2Bhai,Plus2Bhai,,,New Zealand,Canterbury,Christchurch
Plus2Bahen,Plus2Bahen,,,New Zealand,Auckland,Mt. Albert
,,,,New Zealand,Auckland,Pakuranga
,,,,New Zealand,Wellington,Wellington
,,,,New Zealand,Hamilton,Hamilton (V)
,,,,,,
